ID,MAINTAINER,REPO,CONTRIBUTIONS,NAME
30819,github@dwrensha,https://github.com/capnproto/capnproto-rust,2439,capnp
30820,github@Kimundi,https://github.com/Kimundi/capture.rs,5,capture
30821,github@dwrensha,https://github.com/capnproto/capnproto-rust,2439,capnpc
30822,github@dwrensha,https://github.com/dwrensha/capnproto-rust,2439,capnp-rpc
30823,github@aepsil0n,https://github.com/aepsil0n/carboxyl,174,carboxyl
30824,github@CraZySacX,https://github.com/rust-builder/cargo-rub,33,cargo_rub
30825,github@passcod,https://github.com/passcod/cargo-watch,160,cargo-watch
30826,github@SimonSapin,https://github.com/SimonSapin/rust-caseless,20,caseless
30827,github@alexcrichton,https://github.com/alexcrichton/cc-rs,303,cc
30828,github@emk,https://github.com/emk/cesu8-rs,32,cesu8
30829,github@THeK3nger,https://github.com/THeK3nger/CellularMaps-Rust,27,cellular_maps
30830,github@huonw,https://github.com/huonw/cfor,35,cfor
30831,github@pczarn,https://github.com/pczarn/cfg,32,cfg
30832,github@kvark,https://github.com/brendanzab/cgmath,53,cgmath
30832,github@brendanzab,https://github.com/brendanzab/cgmath,843,cgmath
30838,github@quodlibetor,https://github.com/chronotope/chrono,60,chrono
30838,github@lifthrasiir,https://github.com/chronotope/chrono,204,chrono
30840,github@emk,https://github.com/emk/rust-cld2,61,cld2
30841,github@emk,https://github.com/emk/rust-cld2,61,cld2-sys
30842,github@CraZySacX,https://github.com/rust-builder/clj-rub,20,clj_rub
30844,github@tomaka,https://github.com/tomaka/clock_ticks,9,clock_ticks
30847,github@viraptor,https://github.com/viraptor/coinaddress,39,coinaddress
30848,github@Gankro,https://github.com/Gankro/collect-rs,69,collect
30848,github@apasel422,https://github.com/Gankro/collect-rs,71,collect
30850,github@jtuchsen,https://github.com/jtuchsen/colors,4,colors
30851,github@frankmcsherry,https://github.com/frankmcsherry/columnar,33,columnar
30852,github@CraZySacX,https://github.com/rust-builder/commandext,17,commandext
30854,github@huonw,https://github.com/huonw/compile_msg,16,compile_msg
30855,github@kvark,https://github.com/alexcrichton/rust-compress,60,compress
30855,github@alexcrichton,https://github.com/alexcrichton/rust-compress,105,compress
30860,github@alexcrichton,https://github.com/conduit-rust/conduit-cookie,63,conduit-cookie
30866,github@alexcrichton,https://github.com/conduit-rust/conduit-static,59,conduit-static
30868,github@dan-t,https://github.com/dan-t/rust-confsolve,93,confsolve
30869,github@TyOverby,https://github.com/TyOverby/construct,7,construct
30871,github@SergioBenitez,https://github.com/alexcrichton/cookie-rs,53,cookie
30871,github@alexcrichton,https://github.com/alexcrichton/cookie-rs,113,cookie
30873,github@aidancully,https://github.com/aidancully/containerof,28,containerof
30874,github@huonw,https://github.com/huonw/copypasteck,20,copypasteck
30875,github@csmoe,https://github.com/rust-lang/rust,86,core-nightly
30875,github@stjepang,https://github.com/rust-lang/rust,87,core-nightly
30875,github@flip1995,https://github.com/rust-lang/rust,87,core-nightly
30875,github@pietroalbini,https://github.com/rust-lang/rust,88,core-nightly
30875,github@clarfon,https://github.com/rust-lang/rust,89,core-nightly
30875,github@JohnTitor,https://github.com/rust-lang/rust,91,core-nightly
30875,github@TimNN,https://github.com/rust-lang/rust,92,core-nightly
30875,github@Ryman,https://github.com/rust-lang/rust,93,core-nightly
30875,github@matklad,https://github.com/rust-lang/rust,95,core-nightly
30875,github@sinkuu,https://github.com/rust-lang/rust,97,core-nightly
30875,github@Aaron1011,https://github.com/rust-lang/rust,99,core-nightly
30875,github@bkoropoff,https://github.com/rust-lang/rust,101,core-nightly
30875,github@fhahn,https://github.com/rust-lang/rust,102,core-nightly
30875,github@jackpot51,https://github.com/rust-lang/rust,103,core-nightly
30875,github@scalexm,https://github.com/rust-lang/rust,108,core-nightly
30875,github@mbrubeck,https://github.com/rust-lang/rust,109,core-nightly
30875,github@froystig,https://github.com/rust-lang/rust,110,core-nightly
30875,github@Aatch,https://github.com/rust-lang/rust,110,core-nightly
30875,github@jonas-schievink,https://github.com/rust-lang/rust,111,core-nightly
30875,github@gnzlbg,https://github.com/rust-lang/rust,114,core-nightly
30875,github@aochagavia,https://github.com/rust-lang/rust,114,core-nightly
30875,github@klutzy,https://github.com/rust-lang/rust,123,core-nightly
30875,github@tamird,https://github.com/rust-lang/rust,130,core-nightly
30875,github@euclio,https://github.com/rust-lang/rust,133,core-nightly
30875,github@jld,https://github.com/rust-lang/rust,135,core-nightly
30875,github@killerswan,https://github.com/rust-lang/rust,136,core-nightly
30875,github@alexreg,https://github.com/rust-lang/rust,137,core-nightly
30875,github@scottmcm,https://github.com/rust-lang/rust,138,core-nightly
30875,github@richo,https://github.com/rust-lang/rust,139,core-nightly
30875,github@cramertj,https://github.com/rust-lang/rust,140,core-nightly
30875,github@Kimundi,https://github.com/rust-lang/rust,145,core-nightly
30875,github@canndrew,https://github.com/rust-lang/rust,146,core-nightly
30875,github@spastorino,https://github.com/rust-lang/rust,151,core-nightly
30875,github@vadimcn,https://github.com/rust-lang/rust,154,core-nightly
30875,github@wesleywiser,https://github.com/rust-lang/rust,160,core-nightly
30875,github@flaper87,https://github.com/rust-lang/rust,168,core-nightly
30875,github@zackmdavis,https://github.com/rust-lang/rust,169,core-nightly
30875,github@ollie27,https://github.com/rust-lang/rust,169,core-nightly
30875,github@paulstansifer,https://github.com/rust-lang/rust,172,core-nightly
30875,github@est31,https://github.com/rust-lang/rust,174,core-nightly
30875,github@bluss,https://github.com/rust-lang/rust,175,core-nightly
30875,github@bjorn3,https://github.com/rust-lang/rust,176,core-nightly
30875,github@mark-i-m,https://github.com/rust-lang/rust,177,core-nightly
30875,github@durka,https://github.com/rust-lang/rust,178,core-nightly
30875,github@apasel422,https://github.com/rust-lang/rust,186,core-nightly
30875,github@brendanzab,https://github.com/rust-lang/rust,195,core-nightly
30875,github@cuviper,https://github.com/rust-lang/rust,197,core-nightly
30875,github@tbu-,https://github.com/rust-lang/rust,201,core-nightly
30875,github@kennytm,https://github.com/rust-lang/rust,212,core-nightly
30875,github@sanxiyn,https://github.com/rust-lang/rust,224,core-nightly
30875,github@Gankro,https://github.com/rust-lang/rust,225,core-nightly
30875,github@olsonjeffery,https://github.com/rust-lang/rust,236,core-nightly
30875,github@matthewjasper,https://github.com/rust-lang/rust,238,core-nightly
