winapi 0.04760741947253987332855373892926
rand 0.02447552165000656601567818881904
serde 0.02034980182889630645481915394157
libc 0.01874767780299204517069355802050
log 0.01613704060469288437129620206179
num-traits 0.01563045437343842797295323521212
serde_derive 0.01430165464574848291356978791100
compiletest_rs 0.01375802001704208230026260650902
proc-macro2 0.01030119260966721496386444556492
rustc-serialize 0.00987997677542114781379378740667
clippy 0.00953403789545404813099427343559
regex 0.00879273734899923935237620042926
quote 0.00860599974101563733319686377854
lazy_static 0.00841001816710117144904046426745
rustc-ap-rustc_data_structures 0.00796875949198406346996037541430
quickcheck 0.00747318951747357254622450284387
num 0.00708266159981826154412587470688
term 0.00702357424386592255755035196785
syn 0.00678246767408268499272017137969
serde_json 0.00634508284883164488249240875462
kernel32-sys 0.00571477519474944059552079522746
rustc-ap-serialize 0.00566998830611966601195073067743
byteorder 0.00564042329070288915582320754538
rustc-ap-rustc_cratesio_shim 0.00498932601652565289873653142649
serde_test 0.00472009660243220049297141471811
tempdir 0.00470869909738269327298398891912
rand_core 0.00445253684519347336240313595113
serde_macros 0.00413046013399340390670477773938
rustc-ap-arena 0.00410247138503741330672891507447
futures 0.00405972602828492696441786691253
rustc-ap-syntax_pos 0.00400389582041883913821056495408
rustc-ap-rustc_errors 0.00369263305381665411092351192224
rustc-ap-rustc_target 0.00368322838254154854772948191055
clap 0.00364257688067411850019183816585
rustc-ap-syntax 0.00344263007716338583288906427526
smallvec 0.00320219897174870088765730180569
time 0.00311068122839730683282244427801
rustc_version 0.00298197721492207690197062674997
semver 0.00289043996362073601219533358631
either 0.00284512458817228613972005746291
bincode 0.00262952735645800416558470757877
gcc 0.00260097922788523391174342336285
backtrace 0.00245821137426904985645581547260
env_logger 0.00241646076677054294154500801994
advapi32-sys 0.00223060224234482512919996999301
chrono 0.00221395535670015257759257742975
remove_dir_all 0.00218613018521096949542403820033
failure 0.00217248143050799381523208175793
rayon 0.00211471879243127621958442396988
nom 0.00209450446934244648850009795638
serde_codegen 0.00206189725528539875842870543465
hyper 0.00198868810334855211294224908158
cc 0.00178215711392441735101688227161
tempfile 0.00176551268679005527936776154263
nix 0.00173784707543202980931096313100
syntex_syntax 0.00172089815106748231059163867229
getopts 0.00168796049080026356291328593073
regex_macros 0.00168130896123044795004153328932
error-chain 0.00161758409550537426112304384418
memchr 0.00159225421308056011918119487802
wasm-bindgen 0.00155867492500694703426444842620
serde_codegen_internals 0.00155508327165446917465796428104
bindgen 0.00151752582486595162178377727002
synom 0.00149456849467409806295203900106
heapsize 0.00148666598692973462962629849216
pkg-config 0.00147508893126410776247547929074
futures-core 0.00146698036435752884702743426004
regex-syntax 0.00144732229809002967482745027894
num_cpus 0.00144726374188558623221090293498
url 0.00143617355351620791872879756568
serde_derive_internals 0.00143232845815938485307949878944
futures-core-preview 0.00138460735367513902704938999477
num-integer 0.00136684960574917808984185541021
toml 0.00122943580014704808775483080296
bytes 0.00118570743621284040852925656395
itertools 0.00117794790387212920494686141382
failure_derive 0.00116016009874657182419921408467
unreachable 0.00111559678615176256083474370939
walkdir 0.00108730130156594793043589586290
cloudabi 0.00106425469426595564401138993560
docopt 0.00105057689661608205829168571910
ansi_term 0.00104818119503084826796279749317
parking_lot 0.00103677093227985748884190098096
post-expansion 0.00101727485247048209451858902241
atty 0.00093994743023699262995246384023
ws2_32-sys 0.00092814360669462290555353778387
version-sync 0.00090506641721501779416364508180
termcolor 0.00089499385275449046261986296713
num-complex 0.00088432356802313775902962822428
tokio-core 0.00087694662845741596594179023683
collect 0.00086918348555680596031342011187
rand_macros 0.00086680199008207095903721928210
rand_hc 0.00085500129064207603443031890933
rand_chacha 0.00085411011246827345678306331322
stdweb 0.00084955647748181353697688455995
rand_isaac 0.00084849608695472728860098587944
rand_hc128 0.00084791383847916408211115024685
serde_bytes 0.00084149056540934951634730376568
num-iter 0.00082824739388375661144903183697
uuid 0.00082131554315887712099802930865
user32-sys 0.00081860675063295969527271678245
num-bigint 0.00081715607644581992382443180745
packed_simd 0.00080887119552190602650432182941
dbghelp-sys 0.00080294895661190009671093203991
wincolor 0.00080063129087773487503609803895
iron 0.00078721474184566481505087587323
gdi32-sys 0.00077284586163800853258337708596
futures-preview 0.00077086279436996713726459873328
diff 0.00076868963571017398083567995215
crossbeam 0.00076789928353445595192450223720
ole32-sys 0.00075798554201355673211326635652
magenta 0.00075684663536646206317276552866
tokio-io 0.00075600836776067560727337957260
shell32-sys 0.00075481830504492994447091058774
fuchsia-zircon 0.00075459161352729015558027381161
average 0.00074678362321820620367551768481
rand_pcg 0.00073843996675941288906214188259
filetime 0.00072995261445306641040486894667
reqwest 0.00072812299791883664142055909707
crypt32-sys 0.00072111213860566870763324498483
uuid-sys 0.00072084641315230493265053812735
futures-executor-preview 0.00071337051771423938030525224718
dxguid-sys 0.00071327558870798403109492191732
ktmw32-sys 0.00071299844030185352290046596480
dwmapi-sys 0.00071246571258719380414364819032
linked-hash-map 0.00071185671756688185911332578115
secur32-sys 0.00071183976065999031695302745604
d3dcompiler-sys 0.00071016651477250980570993244001
thread_local 0.00070958123860717485249099967248
d3d11-sys 0.00070911829526118562785907961654
psapi-sys 0.00070895657855838344583998544834
xinput-sys 0.00070876684998551859814841513696
oleaut32-sys 0.00070853008795418405060817512719
runtimeobject-sys 0.00070853008795418405060817512719
winmm-sys 0.00070812382663034420873793273188
userenv-sys 0.00070783486552182279128581088301
hid-sys 0.00070716470401464164886873309257
base64 0.00070693967553324789983987264108
comctl32-sys 0.00070657107575606301150955568247
