ID,NAME,PLATFORM
31111,leveldb-rs,Cargo
31113,libaio,Cargo
31114,libblas-sys,Cargo
31115,libc,Cargo
31117,libgit2-sys,Cargo
31118,libjit-sys,Cargo
31119,liblapack-sys,Cargo
31120,liblmdb-sys,Cargo
31122,libnanomsg,Cargo
31123,libssh2-sys,Cargo
31124,libressl-pnacl-sys,Cargo
31126,libtar-sys,Cargo
31129,libz-sys,Cargo
31130,linenoise,Cargo
31131,linenoise-rust,Cargo
31132,linenoise-sys,Cargo
31134,lmdb,Cargo
31136,llvmint,Cargo
31138,lmdb-rs,Cargo
31139,lua,Cargo
31140,log,Cargo
31141,lua52-sys,Cargo
31142,logger,Cargo
31143,lux,Cargo
31144,lzf,Cargo
31145,magic,Cargo
31146,magic-sys,Cargo
31147,malloc_buf,Cargo
31148,markov,Cargo
31151,matrix,Cargo
31152,maybe_utf8,Cargo
31153,maxminddb,Cargo
31156,memcache,Cargo
31158,Memoirs,Cargo
31160,metafactory,Cargo
31161,mime,Cargo
31162,midi,Cargo
31163,miniz-sys,Cargo
31164,mio,Cargo
31167,modifier,Cargo
31169,monad,Cargo
31173,mount,Cargo
31175,mpack,Cargo
31176,mpd,Cargo
31177,mpfr-sys,Cargo
31181,multipart,Cargo
31182,murmurhash64,Cargo
31184,mustache,Cargo
31185,mux,Cargo
31186,mysql,Cargo
31187,nalgebra,Cargo
31188,nanomsg,Cargo
31193,ncollide,Cargo
31195,netaddr,Cargo
31197,neovim,Cargo
31201,nice,Cargo
31202,nix,Cargo
31204,node_rub,Cargo
31205,noise,Cargo
31207,nom,Cargo
31208,notify,Cargo
31210,nphysics,Cargo
31212,num,Cargo
31213,number_prefix,Cargo
31215,nx,Cargo
31216,oauth2,Cargo
31217,oauthcli,Cargo
31218,oauth-client,Cargo
31219,obj,Cargo
31220,objc,Cargo
31221,objc_test_utils,Cargo
31222,ogg-sys,Cargo
31223,obj-rs,Cargo
31224,old-http,Cargo
31225,ole32-sys,Cargo
31226,oncemutex,Cargo
31227,openssl,Cargo
31228,openssl2-sys,Cargo
31229,openssl-sys,Cargo
31230,opentype,Cargo
31231,ordered-float,Cargo
31232,pad,Cargo
31236,pb,Cargo
31239,peg,Cargo
31240,petgraph,Cargo
31241,phant,Cargo
31242,persistent,Cargo
31245,phf,Cargo
31246,phf_mac,Cargo
31247,pidfile,Cargo
31248,phf_shared,Cargo
31249,pipes,Cargo
31250,piston,Cargo
31251,piston2d-drag_controller,Cargo
31252,piston2d-graphics,Cargo
31253,piston2d-sprite,Cargo
31254,piston-ai_behavior,Cargo
31256,pistoncore-event,Cargo
31257,pistoncore-event_loop,Cargo
31258,pistoncore-input,Cargo
31259,pistoncore-window,Cargo
31260,pistoncore-sdl2_window,Cargo
31262,pitch_calc,Cargo
31263,pkg-config,Cargo
31264,plugin,Cargo
31265,pnacl-build-helper,Cargo
31266,pnet,Cargo
31267,pop3,Cargo
31268,polymap,Cargo
31269,polynomial,Cargo
31270,pocket,Cargo
31272,portaudio,Cargo
31274,portmidi,Cargo
31275,postgres_array,Cargo
31276,postgres,Cargo
31277,postgres_macros,Cargo
31278,postgres_range,Cargo
31279,ppapi,Cargo
31280,prctl,Cargo
31281,pretty,Cargo
31283,probability,Cargo
31286,protobuf,Cargo
31287,ptrace,Cargo
31288,puppetfile,Cargo
31290,python27-sys,Cargo
31291,python_rub,Cargo
31293,qrcode,Cargo
31294,queryst,Cargo
31295,quickcheck_macros,Cargo
31296,quickcheck,Cargo
31297,r2d2,Cargo
31298,r2d2_postgres,Cargo
31299,racer,Cargo
31303,rblas,Cargo
31304,rdrand,Cargo
31306,readline,Cargo
31307,recursive_sync,Cargo
31308,redis,Cargo
31309,readline-sys,Cargo
31310,redlock-rs,Cargo
31311,regex,Cargo
31312,regex_macros,Cargo
31315,resources_package,Cargo
31318,rethinkdb,Cargo
31321,roaring,Cargo
31322,rocksdb,Cargo
31324,rope,Cargo
31325,router,Cargo
31327,rscam,Cargo
31328,rsmtp,Cargo
31329,rtlsdr,Cargo
31330,rum,Cargo
31334,rusqlite,Cargo
31335,rust-assimp,Cargo
31339,rustbox,Cargo
31340,rust-crypto,Cargo
31341,rustclient,Cargo
31342,rustc-serialize,Cargo
31343,rust_erl_ext,Cargo
31344,rustfmt,Cargo
31346,rust-freqdist,Cargo
31348,rustic-io,Cargo
31350,rustless,Cargo
31351,rust-mdbm,Cargo
31354,rust_rub,Cargo
31355,rustspec,Cargo
31357,rust-sqlite,Cargo
31359,rust-xmlrpc,Cargo
31362,rusty-tags,Cargo
31363,scgi,Cargo
31364,schroedinger_box,Cargo
31366,scirust,Cargo
31367,scm,Cargo
31368,screenshot,Cargo
31369,sdl,Cargo
31371,sdl2,Cargo
31372,sdl2_gfx,Cargo
31373,sdl2_mixer,Cargo
31374,sdl2-sys,Cargo
31376,sdl2_ttf,Cargo
31377,secrets,Cargo
31378,select,Cargo
31380,selectors,Cargo
31381,select_color,Cargo
31382,semver,Cargo
31383,sequence_trie,Cargo
31384,serde,Cargo
31386,sfunc,Cargo
31387,sha1,Cargo
31390,shared_slice,Cargo
31391,shell32-sys,Cargo
31393,simd,Cargo
31394,shoggoth,Cargo
31396,simple-cgi,Cargo
31400,simpleflake,Cargo
31401,skia,Cargo
31402,slack-hook,Cargo
31403,slack,Cargo
31404,slow_primes,Cargo
31405,smtp,Cargo
31406,solvent,Cargo
31409,sortrs,Cargo
31410,sort_str_to_sql,Cargo
31411,soundchange-english,Cargo
31412,soundchange,Cargo
31413,special,Cargo
31414,speculate,Cargo
31416,splay,Cargo
31417,ssh2,Cargo
31418,spread,Cargo
31420,static,Cargo
31423,stl,Cargo
31424,stopwatch,Cargo
31425,stomp,Cargo
31427,stream,Cargo
31428,strided,Cargo
31429,string_telephone,Cargo
31430,substudy,Cargo
31432,streaming-stats,Cargo
31434,svd_macros,Cargo
31435,superchan,Cargo
31436,suffix,Cargo
31437,syncbox,Cargo
31438,syntex,Cargo
31439,syntex_syntax,Cargo
31441,swapi,Cargo
31443,syslog,Cargo
31445,tabwriter,Cargo
31446,tailrec,Cargo
31447,tape,Cargo
31448,tar,Cargo
31449,taskpool,Cargo
31451,tcod,Cargo
31452,tcod-sys,Cargo
31454,tempan,Cargo
31455,temperature,Cargo
31456,termbox,Cargo
31457,term,Cargo
31458,text_table,Cargo
31459,texture_packer,Cargo
31460,termbox-sys,Cargo
31463,tgff,Cargo
31464,tiled,Cargo
31465,time,Cargo
31466,tinycdb,Cargo
31467,time_calc,Cargo
31470,toml,Cargo
31472,tox,Cargo
31474,traverse,Cargo
31479,tweetust,Cargo
31481,twitter-api,Cargo
31486,typedopts,Cargo
31488,typemap,Cargo
31490,uchardet,Cargo
31491,uchardet-sys,Cargo
31493,udev,Cargo
31496,unicase,Cargo
31497,unicode_names,Cargo
31498,unicode_names_macros,Cargo
31500,union-find,Cargo
31501,unsafe-any,Cargo
31503,uptime,Cargo
31504,topdown-rs,Cargo
31505,url,Cargo
31506,usb,Cargo
31507,users,Cargo
31508,user32-sys,Cargo
31511,utmp,Cargo
31512,utp,Cargo
31513,uuid,Cargo
31514,v8_rub,Cargo
31515,valico,Cargo
31518,vecmath,Cargo
31521,vorbis,Cargo
31522,utils,Cargo
31523,vorbisfile-sys,Cargo
31524,vorbis-sys,Cargo
31530,websocket,Cargo
31531,water,Cargo
31533,winapi,Cargo
31534,winmm-sys,Cargo
31535,wire,Cargo
31536,wkt,Cargo
31538,wren,Cargo
31539,wren-rs,Cargo
31540,wren-sys,Cargo
31543,xml-rs,Cargo
31544,xsv,Cargo
31547,yaml,Cargo
31548,zip,Cargo
31551,zlib,Cargo
31552,zmq,Cargo
31553,zmq-sys,Cargo
31554,zookeeper,Cargo
95185,gdal,Cargo
95188,gpx,Cargo
95196,piston2d-opengl_graphics,Cargo
117877,atomicwrites,Cargo
117878,beanstalkd-cli,Cargo
117879,conrod,Cargo
117880,cql_ffi,Cargo
117881,cql-ffi-safe,Cargo
117883,datetime,Cargo
117884,doubly,Cargo
117885,emojicons,Cargo
117887,flowers,Cargo
117888,glfw-sys,Cargo
117889,hoedown,Cargo
117890,hueclient,Cargo
117891,lodepng,Cargo
117892,mozjpeg-sys,Cargo
117895,psutil,Cargo
117896,punkt,Cargo
117910,discrete,Cargo
117912,glfw,Cargo
117913,glib-2_0-sys,Cargo
117914,gobject-2_0-sys,Cargo
117915,grust,Cargo
117916,markdown,Cargo
117917,maud,Cargo
117918,maud_macros,Cargo
117919,mongo_rub,Cargo
117920,phf_macros,Cargo
117922,rustfft,Cargo
125508,activeds-sys,Cargo
125509,aclui-sys,Cargo
125510,adsiid-sys,Cargo
125511,ahadmin-sys,Cargo
125512,advpack-sys,Cargo
125513,alink-sys,Cargo
125514,amstrmid-sys,Cargo
125515,apidll-sys,Cargo
125516,api-ms-win-net-isolation-l1-1-0-sys,Cargo
125517,appmgmts-sys,Cargo
125518,appmgr-sys,Cargo
125519,appnotify-sys,Cargo
125520,asycfilt-sys,Cargo
125521,audiobaseprocessingobject-sys,Cargo
125522,audioeng-sys,Cargo
125523,audiomediatypecrt-sys,Cargo
125524,authz-sys,Cargo
125525,aux_ulib-sys,Cargo
125526,avifil32-sys,Cargo
125527,avrt-sys,Cargo
125528,basesrv-sys,Cargo
125529,bcrypt-sys,Cargo
125530,bits-sys,Cargo
125531,bluetoothapis-sys,Cargo
125532,bufferoverflow-sys,Cargo
125533,bufferoverflowu-sys,Cargo
125534,bthprops-sys,Cargo
125535,cabinet-sys,Cargo
125537,certadm-sys,Cargo
125538,certidl-sys,Cargo
125539,certcli-sys,Cargo
125540,certca-sys,Cargo
